"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US08059","Jefferson County, Colorado","580233","*****","524901","3009","6402","880","4120","866","18397","1181","89","101","11670","2341","14654","2402","1660","566","12994","2323"
"0500000US08069","Larimer County, Colorado","350518","*****","320513","2290","3523","736","1972","698","7779","1092","214","185","3841","1242","12676","1912","1760","721","10916","1795"
"0500000US08077","Mesa County, Colorado","153207","*****","143773","1560","1426","766","2200","1007","1956","296","14","28","1062","684","2776","1320","411","327","2365","1243"
"0500000US08101","Pueblo County, Colorado","167529","*****","137420","3248","3615","635","5493","1910","1342","431","79","132","13542","2713","6038","1376","1020","510","5018","1302"
"0500000US08123","Weld County, Colorado","314305","*****","284731","2964","4398","681","1447","603","4725","1210","1069","1070","8259","2568","9676","2106","2802","1301","6874","1458"
"0500000US09001","Fairfield County, Connecticut","943823","*****","672515","7414","108358","3869","2417","991","52072","1413","494","396","77390","7828","30577","3647","6753","1425","23824","3681"
"0500000US09003","Hartford County, Connecticut","892697","*****","632985","5494","125302","4052","2111","1203","49780","1430","477","677","48568","4951","33474","5015","6031","1723","27443","4808"
"0500000US09005","Litchfield County, Connecticut","181111","*****","166880","1588","3296","708","284","271","2813","812","0","207","2874","1371","4964","1229","1296","774","3668","1054"
"0500000US09007","Middlesex County, Connecticut","162682","*****","142250","1223","10306","1269","174","215","5421","816","46","82","1306","855","3179","983","477","537","2702","890"
"0500000US09009","New Haven County, Connecticut","857620","*****","624693","7066","120459","3955","2541","1348","35199","1355","0","207","49092","6257","25636","4333","5206","1997","20430","3641"
