County,Median_Age,Percent_Age_17_and_Under,Percent_Age_65_and_Older,Percent_Age_85_and_Older,Percent_Hispanic,Percent_White_Alone,Percent_African_American_Alone,Percent_American_Indian_&_Alaska_Native_Alone,Percent_Asian_Alone,Percent_Native_Hawaiian_and_Other_Pacific_Islander_Alone,Percent_Multi_Racial,Per_Capita_Income,Median_Household_Income,Avg_Annual_Pay,Percent_Population_in_Poverty,Percent_Population_under_18_in_Poverty,Percent_Urban,Percent_Rural,Percent_HS_Graduate_or_Higher,Percent_Bachelors_Degree_or_Higher,Percent_Unemployed,County_Population,Population_Density_per_Sq_Mile,Percent_Uninsured,Percent_Insured,State,FIPS,State_Abbr,RUCC_2013,RUCC_Description
Collingsworth,38.5,25.0,19.01,2.43,34.02,88.17,6.08,3.2,0.51,0.0,2.04,33039,39536,40303,17.3,26.7,0.0,100.0,77.0,17.0,3.6,2920,3.33,30.0,70.0,Texas,48087,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Colorado,43.1,22.98,22.57,3.17,30.28,83.71,12.63,1.09,0.72,0.07,1.77,46821,48258,42474,13.7,21.9,37.39,62.61,81.8,18.4,3.8,21493,21.74,21.7,78.3,Texas,48089,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Comal,41.7,22.48,18.26,1.76,27.62,93.2,2.54,0.87,1.37,0.09,1.93,58067,76523,43403,7.1,10.2,53.85,46.15,91.5,34.5,3.4,156209,193.88,15.4,84.6,Texas,48091,TX,1,Metro - Counties in metro areas of 1 million population or more
Comanche,45.5,22.14,24.42,2.81,28.36,95.55,1.07,1.25,0.68,0.05,1.4,42465,52251,34632,16.4,25.0,28.54,71.46,79.9,17.0,3.7,13635,14.9,25.0,75.0,Texas,48093,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Concho,48.8,18.23,25.28,2.97,34.7,94.11,2.2,0.86,1.64,0.04,1.16,19801,40987,38074,26.6,25.7,0.0,100.0,61.4,11.5,4.2,2726,4.15,20.5,79.5,Texas,48095,TX,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Cooke,40.0,23.62,18.92,2.08,18.6,92.18,3.39,1.38,1.08,0.05,1.93,54174,52047,46907,14.8,24.9,40.97,59.03,86.1,21.6,3.6,41257,43.94,20.4,79.6,Texas,48097,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Coryell,32.2,22.58,10.59,0.95,18.62,73.64,17.67,1.16,2.12,0.97,4.43,33996,48099,42286,15.0,20.1,80.58,19.42,87.6,15.1,4.3,75951,71.66,15.2,84.8,Texas,48099,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Cottle,44.6,22.96,24.25,2.79,24.96,86.18,10.93,0.51,0.07,0.14,2.17,57288,38304,39743,21.2,40.1,0.0,100.0,72.2,16.2,4.3,1398,1.67,25.1,74.9,Texas,48101,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Crane,34.1,28.91,12.38,1.86,65.24,92.2,3.66,1.43,0.97,0.13,1.62,47758,61987,66667,10.1,13.6,89.3,10.7,72.8,12.9,5.3,4797,5.57,20.0,80.0,Texas,48103,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Crockett,39.4,24.83,17.67,1.79,66.27,93.92,1.6,2.36,0.76,0.09,1.28,41472,49117,41530,15.3,23.4,77.25,22.75,73.7,11.0,4.1,3464,1.32,21.5,78.5,Texas,48105,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Crosby,38.6,26.06,18.91,2.46,56.05,92.57,3.9,1.13,0.26,0.07,2.06,30773,37911,36904,23.7,37.1,0.0,100.0,72.3,12.1,4.1,5737,6.73,19.9,80.1,Texas,48107,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Culberson,41.9,22.39,22.11,3.41,72.33,91.39,1.05,2.42,2.01,0.05,3.1,54180,42164,51634,20.3,32.7,0.0,100.0,64.9,7.7,3.6,2171,0.63,24.7,75.3,Texas,48109,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Dallam,31.6,31.91,11.76,1.3,46.71,92.59,2.41,2.23,1.08,0.16,1.52,52148,50587,44322,12.1,18.1,76.46,23.54,72.7,11.8,2.1,7287,4.46,30.2,69.8,Texas,48111,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Dallas,33.7,25.81,11.08,1.23,40.47,66.72,23.52,1.08,6.64,0.11,1.92,58993,59838,68484,14.2,20.7,99.31,0.69,78.0,29.7,3.8,2635516,2718.0,24.0,76.0,Texas,48113,TX,1,Metro - Counties in metro areas of 1 million population or more
Dawson,33.7,25.7,14.91,1.94,57.92,89.82,6.07,1.23,1.27,0.13,1.48,37111,43726,40178,22.9,29.9,83.71,16.29,74.1,12.6,4.9,12728,15.36,23.6,76.4,Texas,48115,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Deaf Smith,31.4,30.84,13.06,1.82,73.32,94.39,2.11,1.72,0.61,0.07,1.1,40470,44230,41992,17.5,25.3,82.29,17.71,71.8,14.2,3.1,18546,12.94,26.0,74.0,Texas,48117,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
