"County","Ethnicity: % Hispanic","Race: % White Alone","Race: % African American Alone","Race: % American Indian & Alaska Native Alone","Race: % Asian Alone","Race: % Native Hawaiian and Other Pacific Islander Alone","Race: % Multi-Racial"
"McCulloch","32.77","93.18","2.74","1.18","0.83","0.09","1.98"
"McLennan","26.66","79.95","14.95","1.12","1.75","0.11","2.11"
"McMullen","42.95","93.16","2.46","0.68","0.68","0","3.01"
"Medina","52.34","93.46","3.02","1.06","0.83","0.16","1.48"
"Menard","36.75","95.42","1.65","1.65","0.19","0","1.08"
"Midland","45.22","88.11","6.82","1.14","2.14","0.12","1.67"
"Milam","26.81","86.6","9.53","1.24","0.87","0.06","1.7"
"Mills","18.25","96.23","1.15","0.98","0.41","0.02","1.21"
"Mitchell","40.67","83.19","11.92","1.78","0.69","0.12","2.3"
"Montague","11","95.49","0.77","1.43","0.47","0.04","1.8"
"Montgomery","24.69","88.21","5.63","0.99","3.16","0.11","1.9"
"Moore","56.97","86.41","3.96","1.71","6.33","0.23","1.37"
"Morris","10.02","72.4","22.67","1.37","0.65","0.12","2.79"
"Motley","17.69","93.83","3","2.44","0.16","0","0.57"
"Nacogdoches","19.72","77.52","18.32","0.88","1.36","0.06","1.86"
"Navarro","27.79","81.19","13.43","1.11","0.75","1.53","1.98"
"Newton","3.69","76.49","20.14","0.86","0.6","0.01","1.9"
"Nolan","38.35","90.65","5.1","1.2","0.82","0.11","2.12"
"Nueces","64.14","90.97","4.26","0.86","2.2","0.14","1.58"
"Ochiltree","54.86","94.69","1.28","1.81","0.64","0.08","1.5"
"Oldham","16.38","92.4","3.31","1.09","1.42","0.05","1.75"
"Orange","8.03","87.54","8.79","0.74","1.2","0.09","1.64"
"Palo Pinto","20.06","93.66","2.57","1.13","0.9","0.09","1.65"
"Panola","8.88","80.45","15.86","0.71","0.83","0.06","2.1"
"Parker","12.63","94.93","1.59","0.95","0.68","0.07","1.78"
"Parmer","64.03","93.99","1.75","1.64","0.9","0.34","1.39"
"Pecos","68.81","91.34","4.54","1.4","1.26","0.11","1.35"
"Polk","15.55","85","10.19","2.35","0.77","0.09","1.6"
"Potter","38.72","79.53","11.08","1.34","5.79","0.14","2.13"
"Presidio","82.41","92.61","1.53","1.6","3.12","0.01","1.12"
"Rains","9.32","93.73","2.57","1.16","0.91","0.06","1.57"
"Randall","22.27","91.57","3.48","0.98","1.81","0.08","2.07"
"Reagan","69.27","92.18","3.37","1.12","0.7","0","2.62"
"Real","28.19","94.65","1.01","1.84","0.35","0.35","1.81"
"Red River","7.33","79.48","16.68","1.56","0.35","0.01","1.93"
"Reeves","74.99","91.33","5.27","0.91","1.5","0.07","0.93"
"Refugio","50.61","89.73","6.31","1.06","0.93","0.03","1.94"
"Roberts","11.02","95.66","0.45","1.11","0.22","0","2.56"
"Robertson","21.47","76.25","20.19","1","0.85","0.07","1.64"
"Rockwall","17.95","86.98","6.87","0.83","3.11","0.11","2.11"
"Runnels","34.27","93.3","2.42","1.62","1.38","0.05","1.24"
"Rusk","17.2","78.79","17.6","1.05","0.66","0.08","1.82"
"Sabine","4.91","89.93","6.88","0.95","0.35","0.06","1.83"
