"County","Per Capita Income","Total Personal Income","Median Household Income","Average Annual Pay","% of Population in Poverty","% of Population Under 18 in Poverty"
"Walker","$28,016","$2,030,607,000","$43,681","$40,759","26.1","28.3"
"Waller","$39,995","$2,124,793,000","$59,807","$46,469","15.9","19.9"
"Ward","$49,916","$585,012,000","$53,621","$63,328","13.9","17.7"
"Washington","$52,265","$1,834,903,000","$54,332","$39,738","13.8","19.5"
"Webb","$31,635","$8,728,522,000","$44,919","$36,564","25.7","34.6"
"Wharton","$41,473","$1,726,056,000","$48,040","$39,491","16.8","26"
"Wheeler","$41,801","$216,990,000","$48,018","$41,950","14","20.9"
"Wichita","$43,170","$5,701,223,000","$47,477","$39,945","17.8","22.4"
"Wilbarger","$42,041","$538,962,000","$44,735","$37,216","15.3","23.6"
"Willacy","$28,593","$615,184,000","$33,171","$35,510","35","44.5"
"Williamson","$50,776","$28,775,524,000","$87,817","$55,645","6.4","7.9"
"Wilson","$44,255","$2,222,659,000","$71,207","$38,858","10.9","14.6"
"Winkler","$57,584","$444,545,000","$56,781","$66,480","14.1","20.1"
"Wise","$43,752","$2,988,466,000","$66,387","$46,714","9.9","14.1"
"Wood","$38,152","$1,721,753,000","$48,384","$37,726","15.3","24.9"
"Yoakum","$41,112","$353,197,000","$61,560","$62,190","12.1","16.3"
"Young","$50,231","$906,413,000","$49,301","$42,430","13.9","20.4"
"Zapata","$28,294","$401,494,000","$33,160","$50,175","32.1","49.1"
"Zavala","$29,202","$349,931,000","$30,076","$36,398","32","44.5"
